,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
line_loading,0.389,0.14800000000000002,0.14900000000000002,0.272,0.20499999999999996,0.08799999999999997,0.08599999999999997,0.502,0.683,0.786,0.876,0.661,0.126,0.11499999999999999,
v_marginrate,-9.0,-8.719999999999999,-8.75,-8.799999999999999,-8.78,-8.77,-8.75,-8.85,-8.86,-8.879999999999999,-8.94,-8.969999999999999,-8.79,-8.75,-8.719999999999999
dlmp,49.99995366203642,50.08467503964417,49.76071091194828,49.25545610380943,49.391185641306016,49.48448377889244,49.59533604535243,48.85364921766034,48.737877974260584,48.56627589988484,48.10204372791531,47.884105182106154,50.067906024749,50.46297740182131,50.692299914954795
